state,lat,lng
Jammu and Kashmir,-145.0,302.0
Himachal Pradesh,-125.0,230.0
Punjab,-166.0,194.0
Uttarakhand,-75.0,184.0
Haryana,-147.0,153.0
Rajsthan,-207.0,98.0
Delhi,-123.0,139.0
Uttar Pradesh,-44.0,93.0
Bihar,86.0,61.0
Sikkim,143.0,112.0
Arunachal Pradesh,288.0,134.0
Assam,245.0,76.0
Meghalaya,203.0,57.0
Nagaland,283.0,70.0
Manipur,271.0,35.0
Tripura,218.0,10.0
Mizoram,242.0,-1.0
Jharkhand,60.0,6.0
West Bengal,122.0,-6.0
Orissa,46.0,-61.0
Chattisgarh,-6.0,-40.0
Madhya Pradesh,-76.0,-2.0
Gujrat,-257.0,3.0
Damman And Dev,-275.0,-63.0
Dadar And Nagar Haveli,-217.0,-80.0
Maharastra,-163.0,-99.0
Telangana,-79.0,-139.0
Goa,-197.0,-198.0
Karnataka,-159.0,-220.0
Andhra Pradesh,-88.0,-204.0
Ponducheri,-62.0,-282.0
Tamil Nadu,-101.0,-304.0
Kerala,-142.0,-315.0
Andaman And Nikobar,244.0,-266.0
Lakshadweep-247.0,-300.0
